employeeid,employee_name,employee_emailid,joining_date,tenure
E001,Charmi Desai,cdesai@fincorpez.com,2021-02-01,3
E002,Suresh Sharma,ssharma@fincorpez.com,2020-06-20,4
E003,Tina Dixit,tdixit@fincorpez.com,2019-04-12,5
E004,Rohit Patel,rpatel@fincorpez.com,2019-12-12,4
E005,Chalie Menzez,cmenzez@fincorpez.com,2024-01-05,0
E006,Muhammad Imran,mimran@fincorpez.com,2022-09-02,1
E007,Sana Saeed,ssaed@fincorpez.com,2020-03-01,4
E008,Vikram Tiwari,vtiwari@fincorpez.com,2023-03-15,1
E009,Akshay More,amore@fincorpez.com,2023-12-01,0
E010,Riya Nair,rnair@fincorpez.com,2018-05-18,6
E011,Deepak Basu,dbasu@fincorpez.com,2021-01-06,3
